gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2294340240	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:19	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Anoura	Anoura geoffroyi		SPECIES	Anoura geoffroyi Gray, 1838	Anoura geoffroyi	Gray, 1838	CO	Gran Resguardo Indígena Vaupés, Comunidad Buenos Aires, Río Cananarí	Vaupés	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	0.022056	-71.002028			150.0	0.0			2018-02-20	20	2	2018	5963041	5963041	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 742	D3M 742	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.178Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340239	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:6	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Vampyriscus	Vampyriscus brocki		SPECIES	Vampyriscus brocki (Peterson, 1968)	Vampyriscus brocki	(Peterson, 1968)	CO	Gran Resguardo Indígena Vaupés, Comunidad Buenos Aires, Río Cananarí	Vaupés	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	0.022056	-71.002028			150.0	0.0			2018-02-19	19	2	2018	8370064	8370064	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 729	D3M 729	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.408Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340238	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:42	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Artibeus	Artibeus glaucus		SPECIES	Dermanura glauca (Thomas, 1893)	Dermanura glauca	(Thomas, 1893)	CO	Gran Resguardo Indígena Vaupés, Comunidad Jirijirimo, Raudal de Jirijirimo	Vaupés	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	0.038806	-70.9445			165.0	0.0			2018-02-22	22	2	2018	4832192	2433262	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 765	D3M 765	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.726Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340237	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:66	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Phyllostomus	Phyllostomus latifolius		SPECIES	Phyllostomus latifolius (Thomas, 1901)	Phyllostomus latifolius	(Thomas, 1901)	CO	Comunidad Morroco, Camino hacia el Cerro Morroco	Vaupés	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	0.138611	-70.949972			207.0	0.0			2018-02-24	24	2	2018	2433282	2433282	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 789	D3M 789	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.434Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340236	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:133	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Lionycteris	Lionycteris spurrelli		SPECIES	Lionycteris spurrelli Thomas, 1913	Lionycteris spurrelli	Thomas, 1913	CO	Cerro Campana	Guaviare	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	1.280556	-72.630694			255.0	0.0			2018-03-04	4	3	2018	2433237	2433237	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 856	D3M 856	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.886Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340235	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:132	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Glossophaga	Glossophaga soricina		SPECIES	Glossophaga soricina (Pallas, 1766)	Glossophaga soricina	(Pallas, 1766)	CO	Cerro Campana	Guaviare	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	1.280556	-72.630694			255.0	0.0			2018-03-04	4	3	2018	2433194	2433194	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 855	D3M 855	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.873Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340233	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:50	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Mesophylla	Mesophylla macconnelli		SPECIES	Mesophylla macconnelli Thomas, 1901	Mesophylla macconnelli	Thomas, 1901	CO	Gran Resguardo Indígena Vaupés, Comunidad Buenos Aires, Laguna Achiote	Vaupés	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	0.017583	-70.992806			159.0	0.0			2018-02-23	23	2	2018	5218756	5218756	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 773	D3M 773	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.922Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340231	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:59	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Rhinophylla	Rhinophylla fischerae		SPECIES	Rhinophylla fischerae Carter, 1966	Rhinophylla fischerae	Carter, 1966	CO	Gran Resguardo Indígena Vaupés, Comunidad Buenos Aires, Laguna Achiote	Vaupés	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	0.017583	-70.992806			159.0	0.0			2018-02-23	23	2	2018	5218757	5218757	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 782	D3M 782	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.941Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340230	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:68	Animalia	Chordata	Mammalia	Chiroptera	Phyllostomidae	Trachops	Trachops cirrhosus		SPECIES	Trachops cirrhosus (Spix, 1823)	Trachops cirrhosus	(Spix, 1823)	CO	Comunidad Morroco, Camino hacia el Cerro Morroco	Vaupés	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	0.138611	-70.949972			207.0	0.0			2018-02-24	24	2	2018	2433300	2433300	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 791	D3M 791	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.476Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
2294340229	1218270e-e724-4abf-aae4-19402bf02e11	ColombiaBio:SINCHI:Apaporis:MAMIFEROS:COLEC:2018:142	Animalia	Chordata	Mammalia	Chiroptera	Vespertilionidae	Myotis	Myotis keaysi		SPECIES	Myotis keaysi J.A.Allen, 1914	Myotis keaysi	J.A.Allen, 1914	CO	Cerro Campana	Guaviare	PRESENT		9d77fdeb-100f-4b29-98ad-4effdd824457	1.280556	-72.630694			255.0	0.0			2018-03-06	6	3	2018	2432420	2432420	HUMAN_OBSERVATION	Instituto Amazónico de Investigaciones Científicas SINCHI Colección Anfibios	ICN-MHN	D3M 865	D3M 865	Darwin M. Morales-Martínez		CC_BY_NC_4_0		Mammíferos-SINCHI			2024-01-24T16:07:37.686Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
