,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
31656,1203020545,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295115134,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,6.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1989-12-22,22.0,12.0,1989.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295115134,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:09:05.357Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31662,1203020539,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295114410,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-06-18,18.0,6.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295114410,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:23:57.024Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31752,1203020449,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295113304,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,16.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1989-12-20,20.0,12.0,1989.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295113304,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:09:13.528Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31763,1203020438,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295112935,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,4.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-02-05,5.0,2.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295112935,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:07:30.289Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31856,1203020244,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295109040,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-04-14,14.0,4.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295109040,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:24:19.745Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31865,1203020232,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295108686,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-12-30,30.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295108686,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:24:54.291Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31893,1203020183,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295107955,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-02-05,5.0,2.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295107955,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:23:52.329Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31895,1203020178,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295108675,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-01-24,24.0,1.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295108675,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:23:47.537Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31906,1203020166,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295107945,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-02-08,8.0,2.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295107945,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:12:32.508Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31941,1203020128,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295107222,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-01-29,29.0,1.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295107222,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:24:55.034Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
31999,1203020053,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295106488,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-01-30,30.0,1.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295106488,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:23:54.304Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32091,1203019416,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295120237,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,7.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-01-19,19.0,1.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295120237,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:24:04.113Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32110,1203019375,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295119523,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,7.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-12-19,19.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295119523,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:03:59.456Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32148,1203019293,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295118070,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,4.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-02-26,26.0,2.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295118070,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:51:35.451Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32210,1203019231,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295117308,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,9.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-01-29,29.0,1.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295117308,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:04:17.708Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32218,1203019223,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295116955,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,15.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-12-20,20.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295116955,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:18:29.075Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32262,1203019179,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295116279,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,34.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-01-29,29.0,1.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295116279,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:51:26.231Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32315,1203019126,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295115470,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-02-01,1.0,2.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295115470,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:07:40.845Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32348,1203019093,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295114741,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,10.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-01-26,26.0,1.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295114741,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:05:39.330Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32368,1203019073,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295114035,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,6.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-02-16,16.0,2.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295114035,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:27:14.574Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32500,1203018916,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295110827,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-12-18,18.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295110827,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:25:58.034Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32534,1203018795,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295109013,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-04-14,14.0,4.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295109013,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:52:28.956Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32618,1203018694,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295107211,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-02-05,5.0,2.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295107211,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:23:49.931Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32638,1203018674,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295106844,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-12-21,21.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295106844,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:24:05.429Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32677,1203018221,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295125906,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,4.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-10-15,15.0,10.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295125906,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:50:57.121Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32765,1203018043,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295120598,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,10.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-12-27,27.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295120598,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:24:23.025Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
32850,1203017933,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295119118,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-05-24,24.0,5.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295119118,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:50:58.645Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33036,1203017717,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295115099,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-12-13,13.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295115099,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:09:05.357Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33070,1203017683,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295114711,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-01-08,8.0,1.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295114711,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:03:39.200Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33086,1203017667,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295114371,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,4.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-04-01,1.0,4.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295114371,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:51:29.079Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33204,1203017526,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295111140,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-01-01,1.0,1.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295111140,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:24:29.330Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33206,1203017524,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295110806,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1991-02-13,13.0,2.0,1991.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295110806,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T08:24:09.945Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33269,1203017379,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295108622,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,3.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-12-31,31.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295108622,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:06:37.628Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33315,1203017333,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295107908,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,IET station,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.85,-7.383333,,,,,,,1990-12-31,31.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295107908,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:06:48.194Z,,CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33339,1203017309,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295107535,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,2.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-12-19,19.0,12.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295107535,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:51:38.056Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
33370,1203017278,4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS295106817,Animalia,Chordata,Aves,Columbiformes,Columbidae,Turtur,Turtur brehmeri,,SPECIES,"Turtur brehmeri (Hartlaub, 1865)",Turtur brehmeri,,CI,Meno River,Moyen-Cavally (Région du),PRESENT,1.0,e2e717bf-551a-4917-bdc9-4fa0f342c530,5.833334,-7.3,,,,,,,1990-01-29,29.0,1.0,1990.0,5231787,5231787.0,HUMAN_OBSERVATION,CLO,EBIRD,OBS295106817,,,,CC_BY_4_0,,obsr568763,,,2024-04-17T09:07:52.619Z,,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
