species,count
Phrynobatrachus alleni,18
Kolobopetalum ovatum,18
Aquila africana,18
Cercocebus atys,18
Enteromius punctitaeniatus,18
Ctenopoma kingsleyae,18
Sarotherodon tournieri,18
Milvus migrans,18
Eumachia sciadephora,17
Pernis apivorus,17
Dichapetalum toxicarium,17
Ciconia microscelis,17
Butorides striata,17
Tetramorium rhetidum,17
Plagiosiphon emarginatus,17
Streptopelia semitorquata,17
Passer griseus,17
Baissea multiflora,17
Corythornis cristatus,17
Heinsia crinita,17
Phrynobatrachus latifrons,17
Crocidura olivieri,16
Crocidura douceti,16
Trichoscypha bijuga,16
Piper umbellatum,16
Solanum macrocarpon,16
Lonchura fringilloides,16
Labeobarbus parawaldroni,16
Hypoponera dulcis,16
Bubo leucostictus,16
Strumigenys vazerka,16
Marantochloa filipes,16
Apus affinis,15
Hemichromis bimaculatus,15
Megaceryle maxima,15
Falco ardosiaceus,15
Ploceus cucullatus,15
Rhinolophus alcyone,15
Cephalophus dorsalis,15
Psychotria yapoensis,15
Onthophagus bordati,15
Eurillas gracilis,15
Perodicticus potto,15
Illadopsis fulvescens,15
Platysteira hormophora,15
Macheiramphus alcinus,15
Enteromius ablabes,15
Strychnos afzelii,15
Onthophagus rectorispauliani,15
Chrysichthys maurus,15
Hypoponera lassa,15
Anaglymma congonis,15
Pan troglodytes,15
Marantochloa leucantha,15
Atheris chlorechis,15
Protoxerus stangeri,15
Saccolaimus peli,15
Muscicapa epulata,14
Lonchura bicolor,14
Pristomyrmex orbiceps,14
Callichilia subsessilis,14
Philantomba maxwellii,14
Amnirana albolabris,14
Actophilornis africanus,14
Pteronetta hartlaubii,14
Heliosciurus rufobrachium,14
Paltothyreus tarsatus,14
Agelaea pentagyna,14
Cercopithecus campbelli,14
Oxyanthus formosus,14
Hexaprotodon liberiensis,14
Odontobatrachus natator,14
Synodontis waterloti,14
Odontomachus troglodytes,14
Mapania baldwinii,14
Bertiera breviflora,14
Aenictus koloi,14
Solanum torvum,13
Millettia liberica,13
Xylopia acutiflora,13
Coffea humilis,13
Crocidura obscurior,13
Cercopithecus lowei,13
Leptopelis viridis,13
Carpolobia lutea,13
Campylospermum duparquetianum,13
Tetramorium minimum,13
Memecylon lateriflorum,13
Inhambanella guereensis,13
Polyceratocarpus parviflorus,13
Monomorium invidium,13
Cephalophus niger,13
Cercopithecus nictitans,13
Cassia fikifiki,13
Synsepalum brevipes,13
Ptychopetalum anceps,13
Cypsiurus parvus,13
Caloncoba brevipes,13
Vanellus albiceps,13
Greenwayodendron oliveri,13
Hypoponera inaudax,13
Bubulcus ibis,13
Gymnostemon zaizou,13
Cinnyris minullus,13
Salacia lehmbachii,13
Campylospermum schoenleinianum,13
Trachyphonus purpuratus,12
Diospyros canaliculata,12
Hypoponera coeca,12
Gymnobucco peli,12
Clarias laeviceps,12
Epiplatys olbrechtsi,12
Anthus leucophrys,12
Pteris tripartita,12
Chromidotilapia guntheri,12
Crinifer piscator,12
Aspidimorpha obovata,12
Culcasia striolata,12
Enteromius traorei,12
Urotriorchis macrourus,12
Ploceus preussi,12
Brycinus nigricauda,12
Hunteria simii,12
Scadoxus multiflorus,12
Chlorocala africana,12
Diospyros cooperi,12
Dracaena aubryana,12
Labeobarbus wurtzi,12
Papyrocranus afer,12
Tetramorium jugatum,12
Phlyctimantis boulengeri,12
Neostenanthera gabonensis,12
Dichapetalum pallidum,11
Macaranga heterophylla,11
Pauridiantha afzelii,11
Isachne albens,11
Cisticola lateralis,11
Scotonycteris zenkeri,11
Poeoptera lugubris,11
Myonycteris torquata,11
Bertiera bracteolata,11
Hipposideros ruber,11
Onthophagus laminosus,11
Mussaenda grandiflora,11
Marantochloa cuspidata,11
Dinophora spenneroides,11
Onthophagus semiviridis,11
Prinia subflava,11
Landolphia foretiana,11
Euplectes macroura,11
Leea guineensis,11
Pseuderanthemum tunicatum,11
Soyauxia floribunda,11
Strychnos densiflora,11
Tetramorium ataxium,11
Mallodon downesii,11
Muscicapa striata,11
Baphia pubescens,11
Sherbournia calycina,11
Strumigenys petiolata,11
Pellonula leonensis,11
Aneilema beniniense,11
Androsiphonia adenostegia,11
Decorsella paradoxa,10
Nettapus auritus,10
Heisteria parvifolia,10
Ploceus brachypterus,10
Xystroceroides burgeoni,10
Spermophaga haematina,10
Euplectes hordeaceus,10
Pristomyrmex africanus,10
Solanum aculeatissimum,10
Mellivora capensis,10
Kaupifalco monogrammicus,10
Dorstenia kameruniana,10
Strychnos aculeata,10
Hipposideros fuliginosus,10
Manis tricuspis,10
Stenandriopsis buntingii,10
Strumigenys nimbrata,10
Hydrobiomorpha celata,10
Phrynobatrachus liberiensis,10
Rothmannia whitfieldii,10
Pheidole rebeccae,10
Pteris burtonii,10
Potamochoerus porcus,10
Chlorophytum orchidastrum,10
Estrilda melpoda,10
Liberiictis kuhni,10
Platysomatinus diversicollis,10
Malapterurus thysi,10
Anthocleista vogelii,10
Sloetiopsis usambarensis,10
Chlorocichla simplex,10
Hymenocoleus hirsutus,10
Hijmania turbinata,10
Malapterurus electricus,9
Sabicea rosea,9
Pseudinca admixtus,9
Shirakiopsis aubrevillei,9
Dioscorea smilacifolia,9
Pauridiantha sylvicola,9
Tetramorium venator,9
Tabernaemontana glandulosa,9
Pavetta corymbosa,9
Corynanthe pachyceras,9
